Super-Aggregation,Aggregation Level,Year,Sample Year End Date,Metric,Result Category,Concern Category,Proportion 2007,Lower Bound 2007,Upper Bound 2007,Change Analysis,Detectable,Proportion 2012,Lower Bound 2012,Upper Bound 2012,Proportions Difference,Lower Bound Difference,Upper Bound Difference,DiffEst,LB2-LB1,Significant
Std_Fed_Regions,Region_10,2007,12/31/07,Lake_Habitat_Complexity,Total,Total,1.00,1.00,1.00,Yes,Yes,0.1,0.08,0.11,0.03,0,0.05,0.099,0.058,No
Std_Fed_Regions,Region_2,2007,12/31/07,Lake_Habitat_Complexity,Good,Good,0.73,0.47,0.98,Yes,No,0.99,0.98,0.99,0,-0.01,0.01,0.051,0.091,Yes
Std_Fed_Regions,Region_2,2007,12/31/07,Lake_Habitat_Complexity,Fair,Fair,0.16,0.00,0.34,Yes,No,0.01,0,0.01,0,-0.01,0.01,0.012,0.062,Yes
Std_Fed_Regions,Region_2,2007,12/31/07,Lake_Habitat_Complexity,Poor,Poor,0.11,0.00,0.24,Yes,No,0,0,0.01,0,-0.01,0.01,0.05,0.018,Yes
Std_Fed_Regions,Region_2,2007,12/31/07,Lake_Habitat_Complexity,Total,Total,1.00,1.00,1.00,Yes,Yes,0.6,0.57,0.63,0.3,0.26,0.34,0.09,0.065,No
Std_Fed_Regions,Region_3,2007,12/31/07,Lake_Habitat_Complexity,Good,Good,0.32,0.14,0.49,Yes,Yes,0.4,0.37,0.43,-0.3,-0.34,-0.26,0.038,0.086,No
Std_Fed_Regions,Region_3,2007,12/31/07,Lake_Habitat_Complexity,Fair,Fair,0.36,0.15,0.57,Yes,No,0.13,0.11,0.15,0,-0.03,0.03,0.023,0.025,No
Std_Fed_Regions,Region_3,2007,12/31/07,Lake_Habitat_Complexity,Poor,Poor,0.32,0.15,0.49,Yes,No,0.36,0.33,0.39,-0.01,-0.05,0.03,0.064,0.094,Yes
Std_Fed_Regions,Region_3,2007,12/31/07,Lake_Habitat_Complexity,Total,Total,1.00,1.00,1.00,Yes,No,0.29,0.26,0.32,-0.01,-0.05,0.03,0.098,0.079,Yes
Std_Fed_Regions,Region_4,2007,12/31/07,Lake_Habitat_Complexity,Good,Good,0.22,0.10,0.35,Yes,No,0.22,0.2,0.25,0.02,-0.02,0.06,0.009,0.087,Yes
Std_Fed_Regions,Region_4,2007,12/31/07,Lake_Habitat_Complexity,Fair,Fair,0.23,0.11,0.35,Yes,Yes,0.43,0.4,0.46,-0.1,-0.15,-0.06,0.072,0.082,No
Std_Fed_Regions,Region_4,2007,12/31/07,Lake_Habitat_Complexity,Poor,Poor,0.54,0.38,0.69,Yes,Yes,0.17,0.14,0.19,-0.1,-0.14,-0.07,0.004,0.011,No
Std_Fed_Regions,Region_4,2007,12/31/07,Lake_Habitat_Complexity,Not Assessed,Not Assessed,0.01,0.00,0.01,Yes,Yes,0.4,0.37,0.43,0.21,0.17,0.25,0.077,0.085,No
Std_Fed_Regions,Region_4,2007,12/31/07,Lake_Habitat_Complexity,Total,Total,1.00,1.00,1.00,Yes,Yes,0.6,0.57,0.63,0.02,-0.02,0.06,0.03,0.084,Yes
Std_Fed_Regions,Region_5,2007,12/31/07,Lake_Habitat_Complexity,Good,Good,0.40,0.29,0.52,Yes,Yes,0.26,0.23,0.29,0.02,-0.02,0.06,0.058,0.005,Yes
Std_Fed_Regions,Region_5,2007,12/31/07,Lake_Habitat_Complexity,Fair,Fair,0.22,0.13,0.31,Yes,Yes,0.14,0.12,0.16,-0.04,-0.07,-0.01,0.057,0,Yes
Std_Fed_Regions,Region_5,2007,12/31/07,Lake_Habitat_Complexity,Poor,Poor,0.38,0.25,0.51,Yes,No,0.46,0.43,0.49,0,-0.04,0.05,0.041,0.091,No
Std_Fed_Regions,Region_5,2007,12/31/07,Lake_Habitat_Complexity,Total,Total,1.00,1.00,1.00,Yes,No,0.18,0.16,0.21,0,-0.03,0.04,0.061,0.013,No
Std_Fed_Regions,Region_6,2007,12/31/07,Lake_Habitat_Complexity,Good,Good,0.23,0.09,0.36,Yes,No,0.35,0.32,0.38,-0.01,-0.05,0.03,0.027,0.011,No
Std_Fed_Regions,Region_6,2007,12/31/07,Lake_Habitat_Complexity,Fair,Fair,0.51,0.30,0.73,Yes,No,0.61,0.58,0.64,0.02,-0.02,0.06,0.065,0.085,Yes
Std_Fed_Regions,Region_6,2007,12/31/07,Lake_Habitat_Complexity,Poor,Poor,0.26,0.11,0.40,Yes,No,0.23,0.2,0.25,0.02,-0.01,0.06,0.08,0.087,Yes
Std_Fed_Regions,Region_6,2007,12/31/07,Lake_Habitat_Complexity,Not Assessed,Not Assessed,0.00,0.00,0.00,Yes,No,0.16,0.14,0.18,-0.04,-0.08,-0.01,0.022,0.052,Yes
Std_Fed_Regions,Region_6,2007,12/31/07,Lake_Habitat_Complexity,Total,Total,1.00,1.00,1.00,Yes,No,0.46,0.43,0.49,-0.01,-0.05,0.04,0.07,0.015,No
Std_Fed_Regions,Region_7,2007,12/31/07,Lake_Habitat_Complexity,Good,Good,0.29,0.11,0.47,Yes,No,0.19,0.17,0.22,-0.01,-0.04,0.03,0.078,0.07,No
Std_Fed_Regions,Region_7,2007,12/31/07,Lake_Habitat_Complexity,Fair,Fair,0.24,0.08,0.39,Yes,No,0.34,0.31,0.37,0.02,-0.02,0.06,0.039,0.095,No
Std_Fed_Regions,Region_7,2007,12/31/07,Lake_Habitat_Complexity,Poor,Poor,0.47,0.28,0.66,Yes,No,0.34,0.31,0.37,-0.01,-0.05,0.03,0.032,0.032,Yes
Std_Fed_Regions,Region_7,2007,12/31/07,Lake_Habitat_Complexity,Total,Total,1.00,1.00,1.00,Yes,No,0.47,0.44,0.5,-0.01,-0.05,0.03,0.086,0.037,Yes
Std_Fed_Regions,Region_8,2007,12/31/07,Lake_Habitat_Complexity,Good,Good,0.43,0.25,0.61,Yes,No,0.19,0.17,0.22,0.02,-0.01,0.05,0.1,0.035,Yes
Std_Fed_Regions,Region_8,2007,12/31/07,Lake_Habitat_Complexity,Fair,Fair,0.20,0.10,0.30,No,,0.99,0.98,0.99,,,,0.028,0.069,Yes
Std_Fed_Regions,Region_8,2007,12/31/07,Lake_Habitat_Complexity,Poor,Poor,0.37,0.24,0.50,No,,0.01,0.01,0.02,,,,0.032,0.015,No
Std_Fed_Regions,Region_8,2007,12/31/07,Lake_Habitat_Complexity,Not Assessed,Not Assessed,0.01,0.00,0.01,No,,0,0,0,,,,0.083,0.083,No
Std_Fed_Regions,Region_8,2007,12/31/07,Lake_Habitat_Complexity,Total,Total,1.00,1.00,1.00,No,,0.88,0.86,0.9,,,,0.04,0.009,No
Std_Fed_Regions,Region_9,2007,12/31/07,Lake_Habitat_Complexity,Good,Good,0.54,0.36,0.73,No,,0.06,0.04,0.07,,,,0.016,0.052,Yes
Std_Fed_Regions,Region_9,2007,12/31/07,Lake_Habitat_Complexity,Fair,Fair,0.20,0.03,0.38,No,,0.01,0.01,0.02,,,,0.012,0.003,Yes
Std_Fed_Regions,Region_9,2007,12/31/07,Lake_Habitat_Complexity,Poor,Poor,0.25,0.09,0.40,No,,0.05,0.03,0.06,,,,0.049,0.035,Yes
Std_Fed_Regions,Region_9,2007,12/31/07,Lake_Habitat_Complexity,Not Assessed,Not Assessed,0.00,0.00,0.01,Yes,No,0.54,0.51,0.57,-0.02,-0.07,0.02,0.044,0.006,No
Std_Fed_Regions,Region_9,2007,12/31/07,Lake_Habitat_Complexity,Total,Total,1.00,1.00,1.00,Yes,No,0.19,0.17,0.22,-0.02,-0.06,0.01,0.028,0.076,No
Std_Fed_Regions,Region_1,2007,12/31/07,Lakeshore_Disturbance,Low,Low,0.35,0.25,0.45,Yes,No,0.27,0.24,0.3,0.05,0.01,0.08,0.015,0.035,No
Std_Fed_Regions,Region_1,2007,12/31/07,Lakeshore_Disturbance,Medium,Medium,0.59,0.47,0.71,Yes,No,0.58,0.55,0.61,-0.01,-0.05,0.04,0.039,0.025,Yes
Std_Fed_Regions,Region_1,2007,12/31/07,Lakeshore_Disturbance,High,High,0.06,0.00,0.13,Yes,No,0.28,0.26,0.31,-0.01,-0.05,0.03,0.022,0.066,Yes
Std_Fed_Regions,Region_1,2007,12/31/07,Lakeshore_Disturbance,Not Assessed,Not Assessed,0.00,0.00,0.01,Yes,No,0.14,0.12,0.16,0.01,-0.02,0.04,0.01,0.03,Yes
Std_Fed_Regions,Region_1,2007,12/31/07,Lakeshore_Disturbance,Total,Total,1.00,1.00,1.00,Yes,Yes,0.71,0.68,0.74,-0.01,-0.05,0.03,0.09,0.079,No
Std_Fed_Regions,Region_10,2007,12/31/07,Lakeshore_Disturbance,Low,Low,0.28,0.13,0.42,Yes,Yes,0.19,0.17,0.22,-0.01,-0.05,0.02,0.047,0.006,No
Std_Fed_Regions,Region_10,2007,12/31/07,Lakeshore_Disturbance,Medium,Medium,0.68,0.52,0.83,Yes,Yes,0.1,0.08,0.11,0.03,0,0.05,0.099,0.058,No
Std_Fed_Regions,Region_10,2007,12/31/07,Lakeshore_Disturbance,High,High,0.05,0.01,0.09,Yes,No,0.99,0.98,0.99,0,-0.01,0.01,0.051,0.091,Yes
Std_Fed_Regions,Region_10,2007,12/31/07,Lakeshore_Disturbance,Total,Total,1.00,1.00,1.00,Yes,No,0.01,0,0.01,0,-0.01,0.01,0.012,0.062,Yes
Std_Fed_Regions,Region_2,2007,12/31/07,Lakeshore_Disturbance,Low,Low,0.49,0.08,0.89,Yes,No,0,0,0.01,0,-0.01,0.01,0.05,0.018,Yes
Std_Fed_Regions,Region_2,2007,12/31/07,Lakeshore_Disturbance,Medium,Medium,0.47,0.08,0.86,Yes,Yes,0.6,0.57,0.63,0.3,0.26,0.34,0.09,0.065,No
Std_Fed_Regions,Region_2,2007,12/31/07,Lakeshore_Disturbance,High,High,0.05,0.00,0.10,Yes,Yes,0.4,0.37,0.43,-0.3,-0.34,-0.26,0.038,0.086,No
Std_Fed_Regions,Region_2,2007,12/31/07,Lakeshore_Disturbance,Total,Total,1.00,1.00,1.00,Yes,No,0.13,0.11,0.15,0,-0.03,0.03,0.023,0.025,No
Std_Fed_Regions,Region_3,2007,12/31/07,Lakeshore_Disturbance,Low,Low,0.17,0.03,0.31,Yes,No,0.36,0.33,0.39,-0.01,-0.05,0.03,0.064,0.094,Yes
Std_Fed_Regions,Region_3,2007,12/31/07,Lakeshore_Disturbance,Medium,Medium,0.62,0.41,0.82,Yes,No,0.29,0.26,0.32,-0.01,-0.05,0.03,0.098,0.079,Yes
Std_Fed_Regions,Region_3,2007,12/31/07,Lakeshore_Disturbance,High,High,0.22,0.05,0.38,Yes,No,0.22,0.2,0.25,0.02,-0.02,0.06,0.009,0.087,Yes
Std_Fed_Regions,Region_3,2007,12/31/07,Lakeshore_Disturbance,Total,Total,1.00,1.00,1.00,Yes,Yes,0.43,0.4,0.46,-0.1,-0.15,-0.06,0.072,0.082,No
Std_Fed_Regions,Region_4,2007,12/31/07,Lakeshore_Disturbance,Low,Low,0.14,0.02,0.26,Yes,Yes,0.17,0.14,0.19,-0.1,-0.14,-0.07,0.004,0.011,No
Std_Fed_Regions,Region_4,2007,12/31/07,Lakeshore_Disturbance,Medium,Medium,0.75,0.62,0.89,Yes,Yes,0.4,0.37,0.43,0.21,0.17,0.25,0.077,0.085,No
Std_Fed_Regions,Region_4,2007,12/31/07,Lakeshore_Disturbance,High,High,0.10,0.02,0.18,Yes,Yes,0.6,0.57,0.63,0.02,-0.02,0.06,0.03,0.084,Yes
Std_Fed_Regions,Region_4,2007,12/31/07,Lakeshore_Disturbance,Not Assessed,Not Assessed,0.01,0.00,0.01,Yes,Yes,0.26,0.23,0.29,0.02,-0.02,0.06,0.058,0.005,Yes
Std_Fed_Regions,Region_4,2007,12/31/07,Lakeshore_Disturbance,Total,Total,1.00,1.00,1.00,Yes,Yes,0.14,0.12,0.16,-0.04,-0.07,-0.01,0.057,0,Yes
Std_Fed_Regions,Region_5,2007,12/31/07,Lakeshore_Disturbance,Low,Low,0.36,0.23,0.49,Yes,No,0.46,0.43,0.49,0,-0.04,0.05,0.041,0.091,No
Std_Fed_Regions,Region_5,2007,12/31/07,Lakeshore_Disturbance,Medium,Medium,0.50,0.38,0.62,Yes,No,0.18,0.16,0.21,0,-0.03,0.04,0.061,0.013,No
Std_Fed_Regions,Region_5,2007,12/31/07,Lakeshore_Disturbance,High,High,0.11,0.07,0.15,Yes,No,0.35,0.32,0.38,-0.01,-0.05,0.03,0.027,0.011,No
Std_Fed_Regions,Region_5,2007,12/31/07,Lakeshore_Disturbance,Not Assessed,Not Assessed,0.02,0.00,0.05,Yes,No,0.61,0.58,0.64,0.02,-0.02,0.06,0.065,0.085,Yes
Std_Fed_Regions,Region_5,2007,12/31/07,Lakeshore_Disturbance,Total,Total,1.00,1.00,1.00,Yes,No,0.23,0.2,0.25,0.02,-0.01,0.06,0.08,0.087,Yes
Std_Fed_Regions,Region_6,2007,12/31/07,Lakeshore_Disturbance,Low,Low,0.19,0.00,0.37,Yes,No,0.16,0.14,0.18,-0.04,-0.08,-0.01,0.022,0.052,Yes
Std_Fed_Regions,Region_6,2007,12/31/07,Lakeshore_Disturbance,Medium,Medium,0.48,0.27,0.69,Yes,No,0.46,0.43,0.49,-0.01,-0.05,0.04,0.07,0.015,No
Std_Fed_Regions,Region_6,2007,12/31/07,Lakeshore_Disturbance,High,High,0.34,0.10,0.57,Yes,No,0.19,0.17,0.22,-0.01,-0.04,0.03,0.078,0.07,No
Std_Fed_Regions,Region_6,2007,12/31/07,Lakeshore_Disturbance,Not Assessed,Not Assessed,0.00,0.00,0.00,Yes,No,0.34,0.31,0.37,0.02,-0.02,0.06,0.039,0.095,No
Std_Fed_Regions,Region_6,2007,12/31/07,Lakeshore_Disturbance,Total,Total,1.00,1.00,1.00,Yes,No,0.34,0.31,0.37,-0.01,-0.05,0.03,0.032,0.032,Yes
Std_Fed_Regions,Region_7,2007,12/31/07,Lakeshore_Disturbance,Low,Low,0.04,0.00,0.08,Yes,No,0.47,0.44,0.5,-0.01,-0.05,0.03,0.086,0.037,Yes
Std_Fed_Regions,Region_7,2007,12/31/07,Lakeshore_Disturbance,Medium,Medium,0.58,0.40,0.77,Yes,No,0.19,0.17,0.22,0.02,-0.01,0.05,0.1,0.035,Yes
Std_Fed_Regions,Region_7,2007,12/31/07,Lakeshore_Disturbance,High,High,0.38,0.20,0.56,No,No,0.99,0.98,0.99,,,,0.028,0.069,Yes
Std_Fed_Regions,Region_7,2007,12/31/07,Lakeshore_Disturbance,Total,Total,1.00,1.00,1.00,No,No,0.01,0.01,0.02,,,,0.032,0.015,No
Std_Fed_Regions,Region_8,2007,12/31/07,Lakeshore_Disturbance,Low,Low,0.42,0.23,0.60,No,No,0,0,0,,,,0.083,0.083,No
Std_Fed_Regions,Region_8,2007,12/31/07,Lakeshore_Disturbance,Medium,Medium,0.25,0.15,0.36,No,No,0.88,0.86,0.9,,,,0.04,0.009,No
Std_Fed_Regions,Region_8,2007,12/31/07,Lakeshore_Disturbance,High,High,0.32,0.21,0.44,No,No,0.06,0.04,0.07,,,,0.016,0.052,Yes
Std_Fed_Regions,Region_8,2007,12/31/07,Lakeshore_Disturbance,Not Assessed,Not Assessed,0.01,0.00,0.01,No,No,0.01,0.01,0.02,,,,0.012,0.003,Yes
Std_Fed_Regions,Region_8,2007,12/31/07,Lakeshore_Disturbance,Total,Total,1.00,1.00,1.00,No,No,0.05,0.03,0.06,,,,0.049,0.035,Yes
Std_Fed_Regions,Region_9,2007,12/31/07,Lakeshore_Disturbance,Low,Low,0.10,0.04,0.16,Yes,No,0.54,0.51,0.57,-0.02,-0.07,0.02,0.044,0.006,No
Std_Fed_Regions,Region_9,2007,12/31/07,Lakeshore_Disturbance,Medium,Medium,0.71,0.53,0.88,Yes,No,0.19,0.17,0.22,-0.02,-0.06,0.01,0.028,0.076,No
Std_Fed_Regions,Region_9,2007,12/31/07,Lakeshore_Disturbance,High,High,0.19,0.02,0.36,Yes,No,0.27,0.24,0.3,0.05,0.01,0.08,0.015,0.035,No
Std_Fed_Regions,Region_9,2007,12/31/07,Lakeshore_Disturbance,Not Assessed,Not Assessed,0.00,0.00,0.01,Yes,No,0.58,0.55,0.61,-0.01,-0.05,0.04,0.039,0.025,Yes
Std_Fed_Regions,Region_9,2007,12/31/07,Lakeshore_Disturbance,Total,Total,1.00,1.00,1.00,Yes,No,0.28,0.26,0.31,-0.01,-0.05,0.03,0.022,0.066,Yes
WSA3_by_Lake_Origin,EHIGH_MAN_MADE,2007,12/31/07,Total_Phosphorus,Good,Good,0.24,0.12,0.36,Yes,No,0.14,0.12,0.16,0.01,-0.02,0.04,0.01,0.03,Yes
WSA3_by_Lake_Origin,EHIGH_MAN_MADE,2007,12/31/07,Total_Phosphorus,Fair,Fair,0.17,0.08,0.25,Yes,Yes,0.71,0.68,0.74,-0.01,-0.05,0.03,0.09,0.079,No
WSA3_by_Lake_Origin,EHIGH_MAN_MADE,2007,12/31/07,Total_Phosphorus,Poor,Poor,0.60,0.47,0.72,Yes,Yes,0.19,0.17,0.22,-0.01,-0.05,0.02,0.047,0.006,No
WSA3_by_Lake_Origin,EHIGH_MAN_MADE,2007,12/31/07,Total_Phosphorus,Total,Total,1.00,1.00,1.00,Yes,Yes,0.1,0.08,0.11,0.03,0,0.05,0.099,0.058,No
WSA3_by_Lake_Origin,EHIGH_NATURAL,2007,12/31/07,Total_Phosphorus,Good,Good,0.65,0.39,0.91,Yes,No,0.99,0.98,0.99,0,-0.01,0.01,0.051,0.091,Yes
WSA3_by_Lake_Origin,EHIGH_NATURAL,2007,12/31/07,Total_Phosphorus,Fair,Fair,0.08,0.01,0.14,Yes,No,0.01,0,0.01,0,-0.01,0.01,0.012,0.062,Yes
WSA3_by_Lake_Origin,EHIGH_NATURAL,2007,12/31/07,Total_Phosphorus,Poor,Poor,0.27,0.02,0.52,Yes,No,0,0,0.01,0,-0.01,0.01,0.05,0.018,Yes
WSA3_by_Lake_Origin,EHIGH_NATURAL,2007,12/31/07,Total_Phosphorus,Total,Total,1.00,1.00,1.00,Yes,Yes,0.6,0.57,0.63,0.3,0.26,0.34,0.09,0.065,No
WSA3_by_Lake_Origin,PLNLOW_MAN_MADE,2007,12/31/07,Total_Phosphorus,Good,Good,0.33,0.24,0.42,Yes,Yes,0.4,0.37,0.43,-0.3,-0.34,-0.26,0.038,0.086,No
WSA3_by_Lake_Origin,PLNLOW_MAN_MADE,2007,12/31/07,Total_Phosphorus,Fair,Fair,0.16,0.09,0.23,Yes,No,0.13,0.11,0.15,0,-0.03,0.03,0.023,0.025,No
WSA3_by_Lake_Origin,PLNLOW_MAN_MADE,2007,12/31/07,Total_Phosphorus,Poor,Poor,0.51,0.41,0.62,Yes,No,0.36,0.33,0.39,-0.01,-0.05,0.03,0.064,0.094,Yes
WSA3_by_Lake_Origin,PLNLOW_MAN_MADE,2007,12/31/07,Total_Phosphorus,Total,Total,1.00,1.00,1.00,Yes,No,0.29,0.26,0.32,-0.01,-0.05,0.03,0.098,0.079,Yes
WSA3_by_Lake_Origin,PLNLOW_NATURAL,2007,12/31/07,Total_Phosphorus,Good,Good,0.47,0.36,0.58,Yes,No,0.22,0.2,0.25,0.02,-0.02,0.06,0.009,0.087,Yes
WSA3_by_Lake_Origin,PLNLOW_NATURAL,2007,12/31/07,Total_Phosphorus,Fair,Fair,0.20,0.12,0.28,Yes,Yes,0.43,0.4,0.46,-0.1,-0.15,-0.06,0.072,0.082,No
WSA3_by_Lake_Origin,PLNLOW_NATURAL,2007,12/31/07,Total_Phosphorus,Poor,Poor,0.33,0.25,0.42,Yes,Yes,0.17,0.14,0.19,-0.1,-0.14,-0.07,0.004,0.011,No
WSA3_by_Lake_Origin,PLNLOW_NATURAL,2007,12/31/07,Total_Phosphorus,Total,Total,1.00,1.00,1.00,Yes,Yes,0.4,0.37,0.43,0.21,0.17,0.25,0.077,0.085,No
WSA3_by_Lake_Origin,WMTNS_MAN_MADE,2007,12/31/07,Total_Phosphorus,Good,Good,0.46,0.32,0.60,Yes,Yes,0.6,0.57,0.63,0.02,-0.02,0.06,0.03,0.084,Yes
WSA3_by_Lake_Origin,WMTNS_MAN_MADE,2007,12/31/07,Total_Phosphorus,Fair,Fair,0.12,0.05,0.18,Yes,Yes,0.26,0.23,0.29,0.02,-0.02,0.06,0.058,0.005,Yes
WSA3_by_Lake_Origin,WMTNS_MAN_MADE,2007,12/31/07,Total_Phosphorus,Poor,Poor,0.43,0.28,0.58,Yes,Yes,0.14,0.12,0.16,-0.04,-0.07,-0.01,0.057,0,Yes
WSA3_by_Lake_Origin,WMTNS_MAN_MADE,2007,12/31/07,Total_Phosphorus,Total,Total,1.00,1.00,1.00,Yes,No,0.46,0.43,0.49,0,-0.04,0.05,0.041,0.091,No
WSA3_by_Lake_Origin,WMTNS_NATURAL,2007,12/31/07,Total_Phosphorus,Good,Good,0.75,0.62,0.87,Yes,No,0.18,0.16,0.21,0,-0.03,0.04,0.061,0.013,No
WSA3_by_Lake_Origin,WMTNS_NATURAL,2007,12/31/07,Total_Phosphorus,Fair,Fair,0.17,0.07,0.26,Yes,No,0.35,0.32,0.38,-0.01,-0.05,0.03,0.027,0.011,No
WSA3_by_Lake_Origin,WMTNS_NATURAL,2007,12/31/07,Total_Phosphorus,Poor,Poor,0.09,0.02,0.15,Yes,No,0.61,0.58,0.64,0.02,-0.02,0.06,0.065,0.085,Yes
WSA3_by_Lake_Origin,WMTNS_NATURAL,2007,12/31/07,Total_Phosphorus,Total,Total,1.00,1.00,1.00,Yes,No,0.23,0.2,0.25,0.02,-0.01,0.06,0.08,0.087,Yes
WSA3_by_Lake_Origin,EHIGH_MAN_MADE,2007,12/31/07,Total_Nitrogen,Good,Good,0.34,0.21,0.47,Yes,No,0.16,0.14,0.18,-0.04,-0.08,-0.01,0.022,0.052,Yes
WSA3_by_Lake_Origin,EHIGH_MAN_MADE,2007,12/31/07,Total_Nitrogen,Fair,Fair,0.15,0.06,0.24,Yes,No,0.46,0.43,0.49,-0.01,-0.05,0.04,0.07,0.015,No
WSA3_by_Lake_Origin,EHIGH_MAN_MADE,2007,12/31/07,Total_Nitrogen,Poor,Poor,0.50,0.37,0.64,Yes,No,0.19,0.17,0.22,-0.01,-0.04,0.03,0.078,0.07,No
WSA3_by_Lake_Origin,EHIGH_MAN_MADE,2007,12/31/07,Total_Nitrogen,Total,Total,1.00,1.00,1.00,Yes,No,0.34,0.31,0.37,0.02,-0.02,0.06,0.039,0.095,No
WSA3_by_Lake_Origin,EHIGH_NATURAL,2007,12/31/07,Total_Nitrogen,Good,Good,0.64,0.37,0.92,Yes,No,0.34,0.31,0.37,-0.01,-0.05,0.03,0.032,0.032,Yes
WSA3_by_Lake_Origin,EHIGH_NATURAL,2007,12/31/07,Total_Nitrogen,Fair,Fair,0.13,0.02,0.25,Yes,No,0.47,0.44,0.5,-0.01,-0.05,0.03,0.086,0.037,Yes
WSA3_by_Lake_Origin,EHIGH_NATURAL,2007,12/31/07,Total_Nitrogen,Poor,Poor,0.23,0.00,0.47,Yes,No,0.19,0.17,0.22,0.02,-0.01,0.05,0.1,0.035,Yes
WSA3_by_Lake_Origin,EHIGH_NATURAL,2007,12/31/07,Total_Nitrogen,Total,Total,1.00,1.00,1.00,No,,0.99,0.98,0.99,,,,0.028,0.069,Yes
WSA3_by_Lake_Origin,PLNLOW_MAN_MADE,2007,12/31/07,Total_Nitrogen,Good,Good,0.29,0.20,0.37,No,,0.01,0.01,0.02,,,,0.032,0.015,No
WSA3_by_Lake_Origin,PLNLOW_MAN_MADE,2007,12/31/07,Total_Nitrogen,Fair,Fair,0.16,0.09,0.22,No,,0,0,0,,,,0.083,0.083,No
WSA3_by_Lake_Origin,PLNLOW_MAN_MADE,2007,12/31/07,Total_Nitrogen,Poor,Poor,0.56,0.46,0.66,No,,0.88,0.86,0.9,,,,0.04,0.009,No
WSA3_by_Lake_Origin,PLNLOW_MAN_MADE,2007,12/31/07,Total_Nitrogen,Total,Total,1.00,1.00,1.00,No,,0.06,0.04,0.07,,,,0.016,0.052,Yes
WSA3_by_Lake_Origin,PLNLOW_NATURAL,2007,12/31/07,Total_Nitrogen,Good,Good,0.40,0.29,0.51,No,,0.01,0.01,0.02,,,,0.012,0.003,Yes
WSA3_by_Lake_Origin,PLNLOW_NATURAL,2007,12/31/07,Total_Nitrogen,Fair,Fair,0.26,0.16,0.36,No,,0.05,0.03,0.06,,,,0.049,0.035,Yes
WSA3_by_Lake_Origin,PLNLOW_NATURAL,2007,12/31/07,Total_Nitrogen,Poor,Poor,0.34,0.23,0.46,Yes,No,0.54,0.51,0.57,-0.02,-0.07,0.02,0.044,0.006,No
WSA3_by_Lake_Origin,PLNLOW_NATURAL,2007,12/31/07,Total_Nitrogen,Total,Total,1.00,1.00,1.00,Yes,No,0.19,0.17,0.22,-0.02,-0.06,0.01,0.028,0.076,No
WSA3_by_Lake_Origin,WMTNS_MAN_MADE,2007,12/31/07,Total_Nitrogen,Good,Good,0.39,0.26,0.53,Yes,No,0.27,0.24,0.3,0.05,0.01,0.08,0.015,0.035,No
WSA3_by_Lake_Origin,WMTNS_MAN_MADE,2007,12/31/07,Total_Nitrogen,Fair,Fair,0.30,0.14,0.45,Yes,No,0.58,0.55,0.61,-0.01,-0.05,0.04,0.039,0.025,Yes
WSA3_by_Lake_Origin,WMTNS_MAN_MADE,2007,12/31/07,Total_Nitrogen,Poor,Poor,0.31,0.18,0.44,Yes,No,0.28,0.26,0.31,-0.01,-0.05,0.03,0.022,0.066,Yes
WSA3_by_Lake_Origin,WMTNS_MAN_MADE,2007,12/31/07,Total_Nitrogen,Total,Total,1.00,1.00,1.00,Yes,No,0.14,0.12,0.16,0.01,-0.02,0.04,0.01,0.03,Yes
WSA3_by_Lake_Origin,WMTNS_NATURAL,2007,12/31/07,Total_Nitrogen,Good,Good,0.72,0.58,0.86,Yes,Yes,0.71,0.68,0.74,-0.01,-0.05,0.03,0.09,0.079,No
WSA3_by_Lake_Origin,WMTNS_NATURAL,2007,12/31/07,Total_Nitrogen,Fair,Fair,0.10,0.04,0.17,Yes,Yes,0.19,0.17,0.22,-0.01,-0.05,0.02,0.047,0.006,No
WSA3_by_Lake_Origin,WMTNS_NATURAL,2007,12/31/07,Total_Nitrogen,Poor,Poor,0.18,0.07,0.28,Yes,Yes,0.1,0.08,0.11,0.03,0,0.05,0.099,0.058,No
WSA3_by_Lake_Origin,WMTNS_NATURAL,2007,12/31/07,Total_Nitrogen,Total,Total,1.00,1.00,1.00,Yes,No,0.99,0.98,0.99,0,-0.01,0.01,0.051,0.091,Yes
WSA3_by_Lake_Origin,EHIGH_MAN_MADE,2007,12/31/07,Acidification,Good,Good,0.99,0.97,1.00,Yes,No,0.01,0,0.01,0,-0.01,0.01,0.012,0.062,Yes
WSA3_by_Lake_Origin,EHIGH_MAN_MADE,2007,12/31/07,Acidification,Fair-Low_ANC_Dep,Fair-Low_ANC_Dep,0.01,0.00,0.03,Yes,No,0,0,0.01,0,-0.01,0.01,0.05,0.018,Yes
WSA3_by_Lake_Origin,EHIGH_MAN_MADE,2007,12/31/07,Acidification,Total,Total,1.00,1.00,1.00,Yes,Yes,0.6,0.57,0.63,0.3,0.26,0.34,0.09,0.065,No
WSA3_by_Lake_Origin,EHIGH_NATURAL,2007,12/31/07,Acidification,Good,Good,0.93,0.85,1.00,Yes,Yes,0.4,0.37,0.43,-0.3,-0.34,-0.26,0.038,0.086,No
WSA3_by_Lake_Origin,EHIGH_NATURAL,2007,12/31/07,Acidification,Fair-Low_ANC_Dep,Fair-Low_ANC_Dep,0.05,0.00,0.13,Yes,No,0.13,0.11,0.15,0,-0.03,0.03,0.023,0.025,No
